2021 Medicare Part C and D Display Measures,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Contract Number,Organization Marketing Name,Contract Name,Parent Organization,Part C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Part D,,,,,,,,,,,,,,,,Both Part C & Part D,,,,,,
,,,,Follow-up Visit after Hospital Stay for Mental Illness (within 30 days of discharge) - DMC01,Antidepressant Medication Management (6 months) - DMC02,Continuous Beta Blocker Treatment - DMC03,Testing to Confirm Chronic Obstructive Pulmonary Disease - DMC04,Doctors who Communicate Well - DMC05,Call Center – Beneficiary Hold Time - DMC06,Pneumonia Vaccine - DMC07,Access to Primary Care Doctor Visits - DMC08,Call Center - Calls Disconnected When Customer Calls Health Plan - DMC09,Pharmacotherapy Management of COPD Exacerbation – Systemic Corticosteroid - DMC10,Pharmacotherapy Management of COPD Exacerbation – Bronchodilator - DMC11,Initiation of Substance Use Disorder Treatment - DMC12,Engagement of Substance Use Disorder Treatment - DMC13,Initiation and Engagement of Substance Use Disorder Treatment Average DMC14,Hospitalization for Potentially Preventable Complications - DMC15,Transitions of Care -  Medication Reconciliation Post-Discharge - DMC16,Transitions of Care - Notification of Inpatient Admission - DMC17,Transitions of Care - Patient Engagement After Inpatient Discharge - DMC18,Transitions of Care - Receipt of Discharge Information - DMC19,Physical Functioning Activities of Daily Living - DMC20,Care of Older Adults - Functional Status - DMC21,Kidney Health Evaluation for Patients With Diabetes - DMC22,Improving or Maintaining Physical Health - DMC23,Improving or Maintaining Mental Health - DMC24,Cardiac Rehabiliation - Acheivement - DMC25,Cardiac Rehabiliation - Engagement 1 - DMC26,Cardiac Rehabiliation - Engagement 2 - DMC27,Cardiac Rehabilation - Initiation - DMC28,Colorectal Cancer Screening (Age 45-75) - DMC29,Call Center - Calls Disconnected When Customer Calls Drug Plan - DMD01,Call Center – Beneficiary Hold Time - DMD02,MPF – Stability - DMD03,Call Center – Pharmacy Hold Time - DMD04,Plan Submitted Higher Prices for Display on MPF - DMD05,Reminders to Fill Prescriptions - DMD06,Reminders to Take Medications - DMD07,Antipsychotic Use in Persons with Dementia - DMD08,Antipsychotic Use in Persons with Dementia - for Long-Term Nursing Home Residents - DMD09,Concurrent Use of Opioids and Benzodiazepines - DMD10,Use of Opioids at High Dosage in Persons Without Cancer - DMD11,Use of Opioids from Multiple Providers in Persons Without Cancer - DMD12,Polypharmacy: Use of Multiple Anticholinergic Medications in Older Adults - DMD13,Polypharmacy: Use of Multiple CNS-Active Medications in Older Adults - DMD14,Initial Opioid Prescribing (IOP-LD) - DMD15,Persistence to Basal Insulin (PST-INS) - DMD16,Grievance Rate - DME01,"Disenrollment Reasons - Problems Getting the Plan to Provide and Pay for Needed Care (MA-PD, MA-only) - DME02","Disenrollment Reasons - Problems with Coverage of Doctors and Hospitals (MA-PD, MA-only) - DME03","Disenrollment Reasons - Financial Reasons for Disenrollment (MA-PD, MA-only, PDP) - DME04","Disenrollment Reasons - Problems with Prescription Drug Benefits and Coverage (MA-PD, PDP) - DME05","Disenrollment Reasons - Problems Getting Information and Help from the Plan (MA-PD, PDP) - DME06",Beneficiary Access and Performance Problems - DME07
H6975,Wellcare,"WELLCARE OF ALABAMA, INC.",Centene Corporation,Not enough data available,45%,Not enough data available,Not enough data available,Not enough data available,0:25,51%,87%,0.00%,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,29%,12%,62%,7%,Plan too small to be measured,59%,41%,Plan too small to be measured,Plan too small to be measured,Not enough data available,Not enough data available,Not enough data available,Not enough data available,52%,0.00%,0:25,100,1:07,90,65%,49%,5%,No data available,4.43%,0.21%,0.52%,9.63%,10.40%,15.43%,56.76%,14.68,31%,40%,13%,Not Available,Not Available,60
H6988,Centers Plan for Healthy Living,"CENTERS PLAN FOR HEALTHY LIVING, LLC","Centers Plan for Healthy Living, LLC",Not enough data available,67%,Not enough data available,Not enough data available,Not enough data available,0:50,64%,96%,4.00%,Not enough data available,Not enough data available,54%,11%,32%,Not enough data available,91%,16%,95%,10%,88%,98%,69%,70%,78%,Not enough data available,Not enough data available,Not enough data available,Not enough data available,74%,0.00%,0:12,100,0:16,97,70%,67%,10%,3%,5.24%,9.31%,0.00%,9.23%,7.72%,11.68%,75.72%,9.79,Not Available,Not Available,Not Available,Not Available,Not Available,60
H7006,ATRIO Health Plans,ATRIO HEALTH PLANS,ATRIO Health Plans,Not enough data available,71%,Not enough data available,34%,91,1:10,83%,95%,5.05%,Not enough data available,Not enough data available,32%,5%,18%,11%,32%,4%,82%,10%,94%,Plan not required to report measure,63%,68%,89%,Not enough data available,Not enough data available,Not enough data available,Not enough data available,73%,5.05%,1:10,99,0:17,94,35%,17%,18%,No data available,8.69%,5.67%,0.60%,6.30%,9.39%,11.54%,71.91%,2.84,Not Available,Not Available,Not Available,Not Available,Not Available,80
H7020,Cigna Healthcare,"CIGNA HEALTHCARE OF SOUTH CAROLINA, INC.",The Cigna Group,Not enough data available,63%,Not enough data available,23%,92,0:40,74%,97%,0.00%,86%,82%,33%,2%,18%,19%,87%,34%,93%,9%,96%,Plan not required to report measure,43%,71%,83%,0%,2%,0%,2%,79%,0.00%,0:40,97,0:21,47,60%,34%,10%,No data available,22.51%,3.08%,0.00%,6.88%,13.55%,12.29%,65.85%,15.18,22%,17%,28%,10%,14%,100
H7028,Devoted Health,DEVOTED HEALTH INSURANCE COMPANY OF SOUTH CAROLINA,"Devoted Health, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,0:05,Plan too new to be measured,Plan too new to be measured,1.10%,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan not required to report measure,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,1.10%,0:05,No data available,1:06,No data available,Plan too new to be measured,Plan too new to be measured,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H7063,Blue Cross and Blue Shield of Kansas,"BLUECROSS BLUESHIELD KANSAS SOLUTIONS, INC.",Blue Cross Blue Shield of Kansas,Not enough data available,75%,Not enough data available,Not enough data available,90,0:18,77%,95%,2.02%,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,7%,59%,29%,88%,18%,Plan too new to be measured,Plan not required to report measure,40%,Plan too new to be measured,Plan too new to be measured,Not enough data available,Not enough data available,Not enough data available,Not enough data available,75%,2.00%,0:11,100,0:27,49,38%,19%,9%,No data available,11.47%,2.58%,0.00%,6.40%,10.16%,9.85%,61.76%,3.88,23%,31%,23%,Not Available,13%,100
H7074,Alignment Health Plan,"ALIGNMENT HEALTH PLAN OF NORTH CAROLINA, INC.","Alignment Healthcare USA, LLC",Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too new to be measured,0:10,Plan too small to be measured,Plan too small to be measured,1.00%,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too new to be measured,Plan not required to report measure,Plan too small to be measured,Plan too new to be measured,Plan too new to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,1.02%,0:12,No data available,0:15,53,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,Plan too small to be measured,Not Available,Not Available,Not Available,Not Available,Not Available,80
H7076,CareSource,"CARESOURCE INDIANA, INC.",CareSource,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too new to be measured,0:26,Plan too small to be measured,Plan too small to be measured,1.00%,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too new to be measured,No data available,Plan too small to be measured,Plan too new to be measured,Plan too new to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,1.00%,0:26,No data available,0:21,50,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,Plan too small to be measured,Not Available,Not Available,Not Available,Not Available,Not Available,100
H7093,Anthem Blue Cross and Blue Shield,COMMUNITY INSURANCE COMPANY,"Elevance Health, Inc.",39%,71%,Not enough data available,20%,Not enough data available,0:22,66%,90%,1.00%,55%,60%,36%,6%,21%,20%,75%,12%,86%,13%,Plan too new to be measured,Plan not required to report measure,38%,Plan too new to be measured,Plan too new to be measured,2%,6%,8%,6%,72%,2.00%,0:12,100,0:41,94,47%,20%,5%,No data available,15.61%,4.18%,0.23%,5.99%,12.27%,17.69%,61.26%,10.02,14%,10%,20%,Not Available,14%,100
H7115,Memorial Hermann Health Plan,MEMORIAL HERMANN HEALTH PLAN,Memorial Hermann Health System,Not enough data available,77%,Not enough data available,31%,92,4:48,83%,96%,6.06%,81%,86%,38%,7%,23%,16%,51%,6%,86%,52%,99%,No data available,62%,72%,83%,5%,8%,5%,3%,79%,6.06%,4:48,100,0:16,47,58%,30%,10%,No data available,13.58%,1.10%,0.00%,6.08%,8.54%,7.09%,63.64%,6.38,21%,19%,17%,Not Available,17%,80
H7123,UPMC for Life Complete Care,"UPMC HEALTH COVERAGE, INC.",UPMC Health System,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,0:16,68%,96%,0.00%,Not enough data available,Not enough data available,31%,0%,16%,14%,60%,23%,77%,21%,Plan too new to be measured,56%,48%,Plan too new to be measured,Plan too new to be measured,Not enough data available,Not enough data available,Not enough data available,Not enough data available,55%,0.00%,0:16,101,0:21,50,70%,56%,13%,No data available,10.82%,4.61%,0.00%,11.61%,15.41%,16.06%,61.82%,Plan too small to be measured,Not Available,Not Available,Not Available,Not Available,Not Available,100
H7147,Devoted Health,DEVOTED HEALTH PLAN OF COLORADO INC,"Devoted Health, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,0:05,Plan too new to be measured,Plan too new to be measured,0.00%,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,0.00%,0:05,No data available,1:06,No data available,Plan too new to be measured,Plan too new to be measured,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H7149,Aetna Medicare,AETNA HEALTH INC. (PA),CVS Health Corporation,42%,63%,Not enough data available,25%,92,0:21,78%,94%,1.08%,83%,93%,28%,4%,16%,12%,91%,9%,86%,3%,96%,88%,37%,69%,81%,2%,16%,9%,26%,68%,1.08%,0:21,100,0:35,92,45%,24%,12%,18%,15.96%,4.90%,0.27%,7.20%,10.81%,17.05%,71.17%,1.51,Not Available,20%,13%,Not Available,19%,100
H7151,Devoted Health,"DEVOTED HEALTH PLAN OF ILLINOIS, INC.","Devoted Health, Inc.",25%,78%,Not enough data available,Not enough data available,Not enough data available,0:05,62%,93%,1.00%,57%,76%,28%,2%,15%,Not enough data available,86%,70%,80%,19%,Plan too new to be measured,Plan not required to report measure,68%,Plan too new to be measured,Plan too new to be measured,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,1.00%,0:05,101,1:06,91,60%,38%,6%,No data available,11.94%,2.32%,0.36%,6.25%,10.89%,15.60%,62.80%,51.94,Not Available,Not Available,Not Available,Not Available,Not Available,100
H7163,Primewell Health Services,"PRIMEWELL HEALTH SERVICES OF MISSISSIPPI, INC.",Louisiana Health Service & Indemnity Company,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too new to be measured,0:36,Plan too small to be measured,Plan too small to be measured,0.00%,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too new to be measured,84%,Plan too small to be measured,Plan too new to be measured,Plan too new to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,0.00%,0:36,100,0:46,49,No data available,No data available,No data available,No data available,5.35%,6.28%,0.00%,5.33%,8.84%,13.48%,61.76%,Plan too small to be measured,Not Available,Not Available,Not Available,Not Available,Not Available,100
H7165,Blue Cross Blue Shield of South Carolina,BLUECROSS AND BLUESHIELD OF SOUTH CAROLINA,BlueCross BlueShield of South Carolina (BCBSSC),Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,No data available,0:12,Plan too small to be measured,Plan too small to be measured,7.00%,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan not required to report measure,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,7.00%,0:12,No data available,0:33,70,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,Plan too small to be measured,Not Available,Not Available,Not Available,Not Available,Not Available,80
H7169,Wellcare,"BUCKEYE HEALTH PLAN COMMUNITY SOLUTIONS, INC.",Centene Corporation,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,0:59,58%,90%,6.50%,70%,73%,Not enough data available,Not enough data available,Not enough data available,Not enough data available,17%,0%,72%,0%,Plan too new to be measured,No data available,31%,Plan too new to be measured,Plan too new to be measured,Not enough data available,Not enough data available,Not enough data available,Not enough data available,47%,6.50%,0:59,102,0:11,93,50%,30%,6%,No data available,11.71%,8.37%,0.00%,8.31%,9.75%,21.52%,54.39%,6,Not Available,Not Available,Not Available,Not Available,Not Available,60
H7172,"Aetna Better Health of Ohio, MyCare Ohio",AETNA BETTER HEALTH INC. (OH),CVS Health Corporation,78%,62%,Not enough data available,19%,92,1:09,62%,93%,3.00%,83%,91%,45%,14%,29%,25%,74%,0%,76%,0%,89%,Plan not required to report measure,35%,64%,82%,10%,10%,12%,6%,49%,3.00%,1:09,99,0:14,84,53%,37%,9%,8%,19.34%,4.01%,0.84%,15.23%,22.13%,17.69%,71.36%,0.09,Not Available,Not Available,Not Available,Not Available,Not Available,60
H7175,Wellcare,"WELLCARE HEALTH INSURANCE OF NORTH CAROLINA, INC.",Centene Corporation,32%,67%,Not enough data available,Not enough data available,Not enough data available,0:24,59%,90%,0.00%,76%,77%,34%,6%,20%,13%,52%,11%,80%,8%,Plan too new to be measured,54%,33%,Plan too new to be measured,Plan too new to be measured,2%,9%,3%,5%,57%,0.00%,0:24,101,1:07,91,58%,42%,7%,No data available,13.16%,7.39%,0.35%,9.82%,12.77%,20.72%,62.83%,8.15,29%,31%,23%,19%,21%,60
H7199,Devoted Health,DEVOTED HEALTH  PLAN OF OREGON,"Devoted Health, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,0:05,Plan too new to be measured,Plan too new to be measured,0.00%,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan not required to report measure,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,0.00%,0:05,No data available,1:06,No data available,Plan too new to be measured,Plan too new to be measured,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H7220,Indiana University Health Plans,"INDIANA UNIVERSITY HEALTH PLANS NFP, INC.",Indiana University Health,Not enough data available,71%,Not enough data available,25%,92,2:56,81%,96%,3.00%,73%,83%,17%,2%,10%,15%,72%,59%,91%,43%,95%,Plan not required to report measure,68%,68%,87%,0%,0%,0%,8%,81%,2.00%,0:21,100,1:06,94,51%,23%,9%,10%,11.48%,3.44%,0.15%,7.96%,8.98%,12.80%,68.66%,4.24,16%,28%,27%,8%,9%,80
H7245,Premera Blue Cross Medicare Advantage,PREMERA BLUE CROSS,Premera,23%,70%,91%,19%,90,0:25,81%,95%,0.00%,77%,92%,28%,2%,15%,9%,78%,44%,90%,32%,99%,Plan not required to report measure,57%,72%,85%,2%,11%,7%,6%,83%,0.00%,0:25,101,1:06,88,38%,17%,15%,No data available,9.68%,8.78%,0.18%,6.41%,9.10%,13.67%,75.66%,CMS Found Issues with Plan's Data,20%,18%,21%,11%,14%,100
H7273,Banner Medicare Advantage,BANNER HEALTH INSURANCE GROUP,Banner Health,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too new to be measured,0:31,Plan too small to be measured,Plan too small to be measured,0.00%,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too new to be measured,Plan not required to report measure,Plan too small to be measured,Plan too new to be measured,Plan too new to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,0.00%,0:31,102,1:27,50,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,10.18%,7.73%,No data available,Plan too small to be measured,Not Available,Not Available,Not Available,Not Available,Not Available,80
H7284,Humana,"HUMANA HEALTH INSURANCE COMPANY OF FLORIDA, INC.",Humana Inc.,43%,67%,92%,30%,92,1:54,62%,98%,3.03%,76%,82%,38%,3%,21%,15%,75%,46%,92%,11%,92%,88%,48%,66%,83%,3%,7%,4%,4%,82%,3.03%,1:54,100,0:09,82,59%,25%,7%,No data available,16.16%,8.80%,0.06%,10.29%,12.31%,18.54%,63.29%,2.88,19%,32%,25%,Not Available,13%,100
H7301,Aetna Medicare,"COVENTRY HEALTH CARE OF ILLINOIS, INC.",CVS Health Corporation,43%,71%,91%,34%,92,0:23,71%,96%,1.06%,82%,88%,34%,4%,19%,15%,93%,19%,79%,13%,95%,Plan not required to report measure,41%,66%,87%,7%,18%,12%,17%,75%,1.06%,0:23,100,0:35,91,54%,28%,9%,15%,14.09%,3.25%,0.31%,7.68%,9.68%,19.10%,69.88%,1.56,21%,28%,19%,16%,16%,100
H7323,Wellcare,WELLCARE NATIONAL HEALTH INSURANCE COMPANY,Centene Corporation,40%,63%,Not enough data available,Not enough data available,92,0:25,64%,91%,0.00%,73%,79%,33%,2%,18%,16%,36%,10%,72%,5%,Plan too new to be measured,53%,46%,Plan too new to be measured,Plan too new to be measured,3%,6%,6%,0%,49%,0.00%,0:25,101,1:07,90,61%,40%,10%,No data available,17.51%,4.24%,0.00%,8.54%,13.84%,15.87%,66.67%,13.14,Not Available,38%,13%,19%,24%,60
H7326,Wellcare,"WELLCARE OF SOUTH CAROLINA, INC.",Centene Corporation,38%,67%,78%,29%,93,0:38,63%,94%,2.00%,76%,81%,35%,5%,20%,15%,50%,5%,84%,5%,95%,No data available,32%,68%,73%,4%,9%,8%,4%,60%,2.00%,0:38,102,1:07,91,58%,32%,12%,No data available,19.08%,5.54%,0.07%,8.57%,12.61%,15.72%,59.48%,5.02,24%,16%,24%,Not Available,16%,60
H7330,Zing Health,"ZING HEALTH, INC.","Zing Health Consolidator, Inc",3%,Not enough data available,Not enough data available,Not enough data available,Not enough data available,0:41,48%,88%,7.00%,71%,85%,29%,0%,14%,Not enough data available,33%,6%,60%,3%,Plan too new to be measured,No data available,52%,Plan too new to be measured,Plan too new to be measured,Not enough data available,Not enough data available,Not enough data available,Not enough data available,52%,7.00%,0:41,100,0:04,49,64%,45%,4%,No data available,3.90%,No data available,No data available,4.64%,4.37%,14.61%,70.73%,1.98,Not Available,Not Available,Not Available,Not Available,Not Available,80
H7360,Wellcare by Health Net,"HEALTH NET OF CALIFORNIA, INC.",Centene Corporation,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Plan too new to be measured,1:36,Plan too small to be measured,86%,11.00%,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,58%,22%,82%,24%,Plan too new to be measured,Plan not required to report measure,48%,Plan too new to be measured,Plan too new to be measured,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,11.00%,1:36,102,0:11,92,No data available,No data available,No data available,No data available,12.28%,7.21%,0.00%,9.47%,10.37%,20.56%,No data available,Plan too small to be measured,Not Available,Not Available,Not Available,Not Available,Not Available,60
H7379,CareFirst BlueCross BlueShield Medicare Advantage,"CAREFIRST ADVANTAGE PPO, INC.","CareFirst, Inc.",Not enough data available,Not enough data available,Not enough data available,Not enough data available,92,Not enough data available,81%,97%,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,16%,59%,50%,81%,37%,Plan too new to be measured,Plan not required to report measure,34%,Plan too new to be measured,Plan too new to be measured,Not enough data available,Not enough data available,Not enough data available,Not enough data available,77%,Not enough data available,Not enough data available,No data available,Not enough data available,No data available,53%,21%,8%,No data available,13.91%,3.36%,0.00%,5.58%,8.47%,16.09%,62.50%,8.83,Not Available,Not Available,Not Available,Not Available,Not Available,100
H7389,Cigna Healthcare,CIGNA HEALTH AND LIFE INSURANCE COMPANY,The Cigna Group,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Plan too new to be measured,0:40,Plan too small to be measured,90%,0.00%,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,85%,37%,81%,23%,Plan too new to be measured,No data available,63%,Plan too new to be measured,Plan too new to be measured,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,0.00%,0:40,92,0:21,46,No data available,No data available,3%,No data available,18.46%,4.25%,0.00%,11.79%,13.54%,11.62%,No data available,Plan too small to be measured,Not Available,Not Available,Not Available,Not Available,Not Available,100
H7399,Wellcare by Allwell,CENTENE VENTURE COMPANY ILLINOIS,Centene Corporation,Not enough data available,Not enough data available,Not enough data available,Not enough data available,92,0:47,69%,78%,4.00%,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,18%,30%,12%,66%,7%,Plan too new to be measured,Plan not required to report measure,51%,Plan too new to be measured,Plan too new to be measured,Not enough data available,Not enough data available,Not enough data available,Not enough data available,55%,4.00%,0:47,101,0:11,93,57%,32%,7%,No data available,16.58%,2.03%,0.00%,7.24%,7.44%,10.22%,60.42%,21.49,Not Available,Not Available,Not Available,Not Available,Not Available,60
H7404,UnitedHealthcare,CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO.,"UnitedHealth Group, Inc.",59%,71%,90%,28%,Not enough data available,0:41,75%,94%,2.00%,82%,85%,42%,7%,25%,12%,59%,27%,86%,29%,97%,Plan not required to report measure,43%,69%,87%,7%,26%,16%,32%,73%,2.00%,0:41,100,0:46,70,49%,21%,12%,15%,12.79%,8.49%,1.22%,7.93%,10.01%,8.52%,67.82%,5.37,18%,19%,28%,9%,14%,100
H7419,Tufts Health Plan,"TUFTS HEALTH PUBLIC PLANS, INC.","Point32Health, Inc.",70%,62%,Not enough data available,19%,Not enough data available,3:50,44%,94%,2.08%,75%,88%,38%,11%,25%,Not enough data available,37%,15%,75%,15%,97%,Plan not required to report measure,37%,79%,85%,Not enough data available,Not enough data available,Not enough data available,Not enough data available,52%,2.08%,3:50,100,0:23,98,49%,39%,No data available,No data available,29.29%,11.32%,0.00%,9.61%,29.15%,12.97%,69.52%,0.83,Not Available,Not Available,Not Available,Not Available,Not Available,80
H7445,UnitedHealthcare,"UNITEDHEALTHCARE OF WISCONSIN, INC.","UnitedHealth Group, Inc.",Not enough data available,70%,Not enough data available,Not enough data available,No data available,0:32,Plan too small to be measured,94%,0.00%,78%,72%,28%,2%,15%,14%,59%,18%,82%,21%,Plan too small to be measured,Plan not required to report measure,41%,Plan too small to be measured,Plan too small to be measured,Not enough data available,Not enough data available,Not enough data available,Not enough data available,68%,0.00%,0:32,100,0:46,71,No data available,No data available,8%,No data available,8.13%,12.88%,0.41%,7.26%,9.36%,14.86%,67.80%,6.43,20%,28%,20%,Not Available,11%,100
H7464,UnitedHealthcare,"UNITEDHEALTHCARE OF THE MID-ATLANTIC, INC.","UnitedHealth Group, Inc.",43%,61%,88%,23%,89,0:39,57%,97%,2.33%,76%,87%,40%,9%,24%,22%,57%,13%,81%,13%,93%,76%,42%,71%,84%,3%,6%,3%,1%,67%,2.33%,0:39,100,0:37,75,65%,48%,11%,8%,14.88%,8.50%,0.75%,14.62%,18.16%,13.30%,71.82%,10.87,18%,34%,10%,Not Available,14%,100
H7511,Great Plains Medicare Advantage,"GOOD SAMARITAN INSURANCE PLAN OF NEBRASKA, INC.",Sanford Health,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,No data available,0:26,Plan too small to be measured,Plan too small to be measured,2.06%,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,No data available,96%,Plan too small to be measured,No data available,No data available,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,2.15%,1:13,87,0:51,90,No data available,No data available,12%,12%,19.15%,1.82%,0.00%,11.93%,30.56%,57.64%,91.23%,Plan too small to be measured,Not Available,Not Available,Not Available,Not Available,Not Available,60
H7512,Ascension Complete,CENTENE VENTURE COMPANY MICHIGAN,Centene Corporation,Not enough data available,Not enough data available,Not enough data available,Not enough data available,92,0:29,68%,89%,0.00%,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,44%,7%,81%,3%,Plan too new to be measured,Plan not required to report measure,43%,Plan too new to be measured,Plan too new to be measured,Not enough data available,Not enough data available,Not enough data available,Not enough data available,38%,0.00%,0:29,101,0:11,93,51%,24%,8%,No data available,8.83%,5.48%,0.95%,4.07%,7.76%,9.96%,69.05%,13.89,Not Available,Not Available,Not Available,Not Available,Not Available,60
H7518,Wellcare,"WELLCARE OF MISSOURI HEALTH INSURANCE COMPANY, INC",Centene Corporation,30%,82%,Not enough data available,Not enough data available,Not enough data available,0:25,58%,78%,0.00%,67%,74%,33%,8%,21%,14%,27%,15%,65%,13%,Plan too new to be measured,48%,33%,Plan too new to be measured,Plan too new to be measured,Not enough data available,Not enough data available,Not enough data available,Not enough data available,37%,0.00%,0:25,101,1:07,90,49%,23%,5%,No data available,20.89%,8.53%,0.00%,12.60%,13.83%,16.63%,69.32%,8.1,29%,27%,20%,Not Available,23%,60
